Name,Date,Sample,Lab Number,Soil pH,Buffer pH,P (lbs/A),K (lbs/A),Ca (lbs/A),Mg (lbs/A),Zn (lbs/A),Mn (lbs/A),Cu (lbs/A),B (lbs/A),Na (lbs/A),NO3-N (ppm),OM (%),CEC (meg/100g),Acidity (meg/100g),Ca (%),Mg  (%),K  (%),Na  (%),C (%),N (%),Total  (%),Distance Along L1 (m),Min Depth (m),Max Depth (m)
"Flinchum, Brady",11/25/2024,14,24111773,4.9,7.35,39,44,169,13,1.7,16,0.3,1.7,7,3,3.49,5.7,5.2,7,1,1,0,2.506,0.085,10,54,0.25,0.5
"Flinchum, Brady",11/25/2024,15,24111774,4.8,7.15,28,46,204,20,2.2,22,0.3,1.8,7,7,4.71,7.5,6.8,7,1,1,0,2.628,0.103,9,54,0.5,1
"Flinchum, Brady",11/25/2024,16,24111775,4.6,7.2,23,164,320,45,4.1,76,0.3,2.1,9,23,5.82,7.6,6.4,11,2,3,0,2.893,0.135,16,60,-999,-999
"Flinchum, Brady",11/25/2024,17,24111776,5,7.15,37,75,172,29,1.5,40,0.4,2.2,12,6,7.77,7.5,6.8,6,2,1,0,3.907,0.171,9,65,0,0.25
"Flinchum, Brady",11/25/2024,18,24111777,5.1,7.15,17,45,151,13,1.2,36,0.2,1.7,7,4,6.58,7.3,6.8,5,1,1,0,4.264,0.149,7,65,0.25,0.5
"Flinchum, Brady",11/25/2024,19,24111778,5,7.15,14,52,237,22,2.3,31,0.3,2,9,2,5.19,7.6,6.8,8,1,1,0,4.906,0.185,10,70,0,0.25
"Flinchum, Brady",11/25/2024,20,24111779,5,7.3,9,32,65,7,0.6,11,0.2,1.7,7,1,3.59,5.8,5.6,3,1,1,0,2.501,0.086,4,70,0.25,0.5
"Flinchum, Brady",11/25/2024,21,24111780,5.1,7.35,8,29,60,5,0.7,11,0.2,1.6,5,1,3.03,5.4,5.2,3,0,1,0,1.989,0.059,4,70,0.5,1
"Flinchum, Brady",11/25/2024,22,24111781,5.1,7.3,10,49,146,14,0.9,28,0.3,1.5,6,1,3.29,6.1,5.6,6,1,1,0,3.67,0.111,8,75,0,0.25
"Flinchum, Brady",11/25/2024,23,24111782,5.1,7.35,8,28,46,3,0.4,16,0.3,1.5,5,0,2.66,5.4,5.2,2,0,1,0,1.773,0.061,3,75,0.25,0.5
"Flinchum, Brady",11/25/2024,24,24111783,5.1,7.45,8,28,51,5,0.4,13,0.3,1.6,5,1,2.61,4.6,4.4,3,0,1,0,2.494,0.055,4,75,0.5,1
"Flinchum, Brady",11/25/2024,25,24111784,5.2,7.15,16,72,202,26,1.3,68,0.3,1.9,9,1,7.44,7.5,6.8,7,1,1,0,5.737,0.154,10,80,0,0.25
"Flinchum, Brady",11/25/2024,26,24111785,5.1,7.25,15,38,72,8,0.6,23,0.3,1.7,7,1,4.11,6.3,6,3,1,1,0,2.841,0.115,4,80,0.25,0.5
"Flinchum, Brady",11/25/2024,27,24111786,4.9,6.75,28,147,632,56,5,104,0.3,2.5,12,12,15.7,12,10,13,2,2,0,8.811,0.396,17,84,0,0.25
"Flinchum, Brady",11/25/2024,28,24111787,4.9,6.8,25,117,510,40,4.1,84,0.3,1.9,9,11,12.21,11.2,9.6,11,1,1,0,8.102,0.328,14,84,0.25,0.5
"Flinchum, Brady",11/25/2024,29,24111788,4.7,6.8,27,88,351,33,2.2,21,0.3,2.4,11,8,9.64,10.8,9.6,8,1,1,0,4.895,0.204,11,90,-999,-999
"Flinchum, Brady",11/25/2024,30,24111789,4.7,6.8,24,268,2312,170,19.2,145,0.7,2.2,9,17,64.49,16.5,9.6,35,4,2,0,35.03,1.754,42,95,-999,-999
"Flinchum, Brady",11/25/2024,31,24111790,4.4,6.8,23,100,304,37,11.1,20,0.3,2.3,20,13,9.17,10.7,9.6,7,1,1,0,6.139,0.367,10,105,-999,-999
"Flinchum, Brady",11/25/2024,32,24111791,4.9,6.8,29,357,3323,346,10.7,114,0.5,2.1,9,23,48,19.8,9.6,42,7,2,0,28.116,1.731,52,110,-999,-999
"Flinchum, Brady",11/25/2024,33,24111792,4.9,7.25,13,123,244,48,3.8,13,1.8,1.7,11,8,7.7,7,6,9,3,2,0,5.212,0.267,14,160,-999,-999
"Flinchum, Brady",11/25/2024,34,24111793,5.4,7.6,6,47,214,31,1.6,22,1.2,1.3,11,0,4.64,3.9,3.2,14,3,2,1,2.184,0.036,19,170,-999,-999
"Flinchum, Brady",11/25/2024,35,24111794,5.6,7.7,4,50,222,32,1.2,25,0.9,1.6,14,0,3.03,3.2,2.4,17,4,2,1,1.377,0.02,24,176,-999,-999
"Flinchum, Brady",11/25/2024,36,24111795,5.5,7.6,4,84,342,56,3.3,38,1.8,1.6,17,1,4.81,4.4,3.2,19,5,2,1,1.975,0.063,28,180,-999,-999
"Flinchum, Brady",11/25/2024,37,24111796,5.7,7.7,12,90,572,68,4.1,40,1.3,1.6,10,3,3.17,4.3,2.4,33,7,3,1,2.678,0.017,43,190,-999,-999
