Date,LabNumber,Name,Sample#,Distance,Min Depth,Max Depth,"C
 %","N
 %",CN Ratio,SoilpH,BufferpH,P,K,Ca,Mg,Zn,Mn,Cu,B,Na,NO3-N,OM,CEC,Acidity,Ca%BS,Mg%BS,K%BS,Na%BS,Total%BS
25/11/2024,24111761,"Flinchum, Brady",1,0,-999,-999,8.432,0.330,25.6,4.9,7.15,35,104,437,60,3.5,13,0.2,1.8,22,0,9.23,8.3,6.8,13,3,2,1,18
25/11/2024,24111762,"Flinchum, Brady",2,5,-999,-999,36.860,1.535,24.0,4.1,7,22,205,376,55,6.6,23,0.6,1.8,11,0,56.06,9.5,8,10,2,3,0,15
25/11/2024,24111781,"Flinchum, Brady",22,75,0,0.25,3.670,0.111,33.1,5.1,7.3,10,49,146,14,0.9,28,0.3,1.5,6,1,3.29,6.1,5.6,6,1,1,0,8
25/11/2024,24111782,"Flinchum, Brady",23,75,0.25,0.5,1.773,0.061,29.1,5.1,7.35,8,28,46,3,0.4,16,0.3,1.5,5,0,2.66,5.4,5.2,2,0,1,0,3
25/11/2024,24111783,"Flinchum, Brady",24,75,0.5,1,2.494,0.055,45.3,5.1,7.45,8,28,51,5,0.4,13,0.3,1.6,5,1,2.61,4.6,4.4,3,0,1,0,4
25/11/2024,24111784,"Flinchum, Brady",25,80,0,0.25,5.737,0.154,37.3,5.2,7.15,16,72,202,26,1.3,68,0.3,1.9,9,1,7.44,7.5,6.8,7,1,1,0,10
25/11/2024,24111785,"Flinchum, Brady",26,80,0.25,0.5,2.841,0.115,24.7,5.1,7.25,15,38,72,8,0.6,23,0.3,1.7,7,1,4.11,6.3,6,3,1,1,0,4
25/11/2024,24111786,"Flinchum, Brady",27,84,0,0.25,8.811,0.396,22.3,4.9,6.75,28,147,632,56,5,104,0.3,2.5,12,12,15.7,12,10,13,2,2,0,17
25/11/2024,24111787,"Flinchum, Brady",28,84,0.25,0.5,8.102,0.328,24.7,4.9,6.8,25,117,510,40,4.1,84,0.3,1.9,9,11,12.21,11.2,9.6,11,1,1,0,14
25/11/2024,24111788,"Flinchum, Brady",29,90,-999,-999,4.895,0.204,24.0,4.7,6.8,27,88,351,33,2.2,21,0.3,2.4,11,8,9.64,10.8,9.6,8,1,1,0,11
25/11/2024,24111789,"Flinchum, Brady",30,95,-999,-999,35.030,1.754,20.0,4.7,6.8,24,268,2312,170,19.2,145,0.7,2.2,9,17,64.49,16.5,9.6,35,4,2,0,42
25/11/2024,24111790,"Flinchum, Brady",31,105,-999,-999,6.139,0.367,16.7,4.4,6.8,23,100,304,37,11.1,20,0.3,2.3,20,13,9.17,10.7,9.6,7,1,1,0,10
25/11/2024,24111791,"Flinchum, Brady",32,110,-999,-999,28.116,1.731,16.2,4.9,6.8,29,357,3323,346,10.7,114,0.5,2.1,9,23,48,19.8,9.6,42,7,2,0,52
25/11/2024,24111792,"Flinchum, Brady",33,160,-999,-999,5.212,0.267,19.5,4.9,7.25,13,123,244,48,3.8,13,1.8,1.7,11,8,7.7,7,6,9,3,2,0,14
25/11/2024,24111793,"Flinchum, Brady",34,170,-999,-999,2.184,0.036,60.7,5.4,7.6,6,47,214,31,1.6,22,1.2,1.3,11,0,4.64,3.9,3.2,14,3,2,1,19
25/11/2024,24111794,"Flinchum, Brady",35,176,-999,-999,1.377,0.020,68.9,5.6,7.7,4,50,222,32,1.2,25,0.9,1.6,14,0,3.03,3.2,2.4,17,4,2,1,24
25/11/2024,24111795,"Flinchum, Brady",36,180,-999,-999,1.975,0.063,31.3,5.5,7.6,4,84,342,56,3.3,38,1.8,1.6,17,1,4.81,4.4,3.2,19,5,2,1,28
25/11/2024,24111796,"Flinchum, Brady",37,190,-999,-999,2.678,0.017,157.5,5.7,7.7,12,90,572,68,4.1,40,1.3,1.6,10,3,3.17,4.3,2.4,33,7,3,1,43
